Unnamed: 0,src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,class
137,192.168.1.52,192.168.1.254,42013,53,17,2020-11-30 17:28:52,12398.0,580738.8288433618,7743.184384578159,3871.5921922890793,3871.5921922890793,48,48,3600,3600,75.0,75.0,75.0,0.0,75.0,75.0,75.0,0.0,75,75,75.0,0.0,0.0,384,384,8,48,130.50526315789477,794.0,0.0,130.80937304934355,12062.0,1098.0,0.0,256.63829787234044,278.3806077811314,11957.0,1272.0,0.0,254.4042553191489,330.3514350206309,0,0,0,0,1,0,0,0,0,0,0,1.0,75.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,5.0,154.0,4.666666666666667,361974.4058500914,452054.794520548,75.0,75.0,0,48,48,3600,3600,T0804
23,192.168.1.52,192.168.1.254,56364,53,17,2020-11-30 17:04:27,75138.0,94546.0352950571,1277.6491256088798,638.8245628044399,638.8245628044399,48,48,3552,3552,74.0,74.0,74.0,0.0,74.0,74.0,74.0,0.0,74,74,74.0,0.0,0.0,384,384,8,48,790.9263157894737,48041.0,0.0,4910.799465929213,74783.0,48403.0,0.0,1591.127659574468,6961.819738316227,74596.0,48616.0,0.0,1587.148936170213,7000.695776906517,0,0,0,0,1,0,0,0,0,0,0,1.0,74.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.8,4.4,128.0,4.0,196812.9717640481,326669.50233943004,74.0,74.0,0,48,48,3552,3552,T0804
44,192.168.1.34,192.168.1.254,56859,53,17,2020-11-30 17:04:41,11446.0,675170.3651930806,8387.209505504106,4193.604752752053,4193.604752752053,48,48,4128,3600,86.0,86.0,86.0,0.0,75.0,75.0,75.0,0.0,86,75,80.5,5.5,30.25,384,384,8,48,120.4842105263158,710.0,0.0,114.66728649792748,10965.0,1332.0,0.0,233.2978723404256,250.9300076094474,11446.0,1509.0,0.0,243.53191489361703,326.87630890271794,0,0,0,0,1,0,0,0,0,0,0,1.0,80.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.57142857142856,5.285714285714286,165.0,5.0,438577.5862068966,463917.5257731959,86.0,75.0,0,48,48,4128,3600,T0804
144,192.168.1.52,192.168.1.254,33866,53,17,2020-11-30 17:28:58,13463.0,534799.0789571418,7130.654386095224,3565.327193047612,3565.327193047612,48,48,3600,3600,75.0,75.0,75.0,0.0,75.0,75.0,75.0,0.0,75,75,75.0,0.0,0.0,384,384,8,48,141.7157894736842,844.0,0.0,143.49448279567332,13055.0,1344.0,0.0,277.7659574468085,327.53529696201934,13016.0,1332.0,0.0,276.93617021276594,342.2786226164677,0,0,0,0,1,0,0,0,0,0,0,1.0,75.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.5,5.166666666666667,150.85714285714286,4.571428571428571,364575.908766928,364766.8393782384,75.0,75.0,0,48,48,3600,3600,T0804
117,192.168.1.34,192.168.1.254,50246,53,17,2020-11-30 17:28:34,26844.0,284309.34286991507,3576.218149307108,1788.109074653554,1788.109074653554,48,48,4080,3552,85.0,85.0,85.0,0.0,74.0,74.0,74.0,0.0,85,74,79.5,5.5,30.25,384,384,8,48,282.5684210526316,5489.0,0.0,611.3745626413282,26446.0,5982.0,0.0,562.6808510638298,959.0966518060934,26153.0,5890.0,0.0,556.4468085106383,979.6173983605364,0,0,0,0,1,0,0,0,0,0,0,1.0,79.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,4.0,128.0,4.0,387013.8219222115,418105.45963602426,85.0,74.0,0,48,48,4080,3552,T0804
156,192.168.1.52,192.168.1.254,35244,53,17,2020-11-30 17:29:05,24485.0,290136.8184602818,3920.767817030835,1960.3839085154173,1960.3839085154173,48,48,3552,3552,74.0,74.0,74.0,0.0,74.0,74.0,74.0,0.0,74,74,74.0,0.0,0.0,384,384,8,48,257.7368421052632,1968.0,0.0,330.85608926020086,24101.0,2420.0,0.0,512.7872340425532,534.2939638785284,23860.0,3706.0,0.0,507.6595744680851,827.4768950067619,0,0,0,0,1,0,0,0,0,0,0,1.0,74.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,5.0,149.33333333333334,4.666666666666667,150404.2113179169,569974.5547073791,74.0,74.0,0,48,48,3552,3552,T0804
60,192.168.1.52,192.168.1.254,43270,53,17,2020-11-30 17:04:57,26297.0,270144.88344678096,3650.606533064608,1825.303266532304,1825.303266532304,48,48,3552,3552,74.0,74.0,74.0,0.0,74.0,74.0,74.0,0.0,74,74,74.0,0.0,0.0,384,384,8,48,276.81052631578945,4007.0,0.0,533.4301373827167,25887.0,4494.0,0.0,550.7872340425532,869.5468601315802,25686.0,4419.0,0.0,546.5106382978723,945.4083407384824,0,0,0,0,1,0,0,0,0,0,0,1.0,74.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.85714285714286,4.714285714285714,146.28571428571428,4.571428571428571,267952.29637147934,446771.37870855146,74.0,74.0,0,48,48,3552,3552,T0804
171,192.168.1.34,192.168.1.254,33333,53,17,2020-11-30 17:29:19,28692.0,265997.4905897114,3345.880384776244,1672.940192388122,1672.940192388122,48,48,4080,3552,85.0,85.0,85.0,0.0,74.0,74.0,74.0,0.0,85,74,79.5,5.5,30.25,384,384,8,48,302.0210526315789,3443.0,0.0,425.7401722807337,28500.0,3794.0,0.0,606.3829787234042,666.5155040635474,28261.0,4769.0,0.0,601.2978723404256,924.1654064647256,0,0,0,0,1,0,0,0,0,0,0,1.0,79.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.3333333333333,5.333333333333333,128.0,4.0,167071.39388052453,399687.74395003903,85.0,74.0,0,48,48,4080,3552,T0804
74,192.168.1.112,224.0.0.252,50481,5355,17,2020-11-30 17:05:03,417241.0,920.3314151773196,14.38017836214562,14.38017836214562,0.0,6,0,384,0,64.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,64,64,64.0,0.0,0.0,48,0,8,6,83448.2,411999.0,27.0,164284.72333287718,417241.0,411999.0,27.0,83448.2,164284.72333287718,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,64.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,6.0,0.0,0.0,316.3639239672036,0.0,64.0,0.0,0,6,0,384,0,T0804
148,192.168.1.52,192.168.1.255,137,137,17,2020-11-30 17:28:59,0.0,0.0,0.0,0.0,0.0,2,0,184,0,92.0,92.0,92.0,0.0,0.0,0.0,0.0,0.0,92,92,92.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,92.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0,2,0,184,0,T0804
